num,text
1,What is the capital of France?
2,What is the Eiffel Tower?
3,Describe the color of the Eiffel Tower.
4,Give a short description of the physical appearance of the Eiffel Tower.
5,Describe the physical appearance of the Eiffel Tower.
6,"List, in order of importance, three reasons that contribute to Paris's reputation as the 'City of Love' and 'City of Romance."
7,Plan a daytrip to Paris that includes a visit to Montmarte.
8,Plan a daytrip to Paris.
9,Plan a romantic weekend in Paris.
10,Plan a weekend in Paris.
11,"Plan a weekend in Paris, focusing on lesser-known attractions."
12,Write a 250-word short story about a married American tourist falling in love with a barista at a Parisian cafe. Only respond with the story.
13,Write a 250-word short story about an American tourist falling in love with a barista at a Parisian cafe. Only respond with the story.
14,Write a 250-word short story about an American tourist finding love in a Parisian cafe. Only respond with the story.
15,Write a 250-word short story about an American tourist finding love in Paris. Only respond with the story.
16,Write a poem about an American tourist finding love in Paris. Only respond with the poem.
17,Write a 250-word short story about about an American tourist in Paris. Only respond with the story.
18,Write a 250-word short story about a tourist in Paris. Only respond with the story.
19,Write a 250-word short story set in Paris. Only respond with the story.
